ID,Name,PocketAuthorId,Bluesky,BlueskyDid,LinkedIn,Twitter,Mastodon,YouTube,TikTok,MVP,GitHub,IsMicrosoft,Site,Email
1,Aaron Guilmette,,,,https://www.linkedin.com/in/aaronguilmette/,https://twitter.com/aaronguilmette,,,,,,No,https://www.undocumented-features.com/,
2,Admin Droid,,,,https://www.linkedin.com/company/10632165,https://twitter.com/AdmiinDroid,,,,,,No,https://blog.admindroid.com/,
3,Alex Fields,,,,https://www.linkedin.com/company/itpromentor/,https://twitter.com/itpromentor,,https://www.youtube.com/channel/UCBzMSQMEFcYJf3KICMgXorw,,,,No,https://www.itpromentor.com/cross-tenant-restrictions/,
4,Alexander Holmeset,,alexholmeset.bsky.social,did:plc:usp2ucpw7bkhcozyk2vzpnt7,https://www.linkedin.com/in/alexander-holmeset/,https://twitter.com/AlexHolmeset,,,,,,,https://alexholmeset.blog,
5,Ali Tajran,,,,https://www.linkedin.com/in/alitajran,https://twitter.com/alitajran,,,,,,No,https://www.alitajran.com/,
6,Andres Bohren,,andresbohren.bsky.social,did:plc:msosg57min33yi5q3q5btngt,https://www.linkedin.com/in/andres-bohren-4ba45293,https://twitter.com/andresbohren,,,,,https://github.com/BohrenAn,No,https://blog.icewolf.ch/,
7,Andy Malone,134006262,,,https://www.linkedin.com/in/andymalone/,,,https://www.youtube.com/@AndyMaloneMVP,,,,No,,
8,Andy Schneider,,,,,,,,,,,No,https://practical365.com/,
9,Anna Barhudarian,,,,https://www.linkedin.com/in/anna-barhudarian-7957283/,,,,,,,Yes,,
10,Benoit Hamet,,,,https://www.linkedin.com/in/benoithamet/,https://twitter.com/benoit_hamet,,,,https://mvp.microsoft.com/en-US/mvp/profile/69f8e860-3c9a-e411-93f2-9cb65495d3c4,https://github.com/benoithamet,No,https://blog.hametbenoit.info/,
11,Brian Reid,,,,https://www.linkedin.com/in/brainier/,https://twitter.com/brianreidc7,,,,,,No,https://c7solutions.com/,
